"doi","article_id","title","year","license_url","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date"
"10.1177/0956797613520608","0956797613520608","Continuous Theta-Burst Stimulation Demonstrates a Causal Role of Premotor Homunculus in Action Understanding","2014","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797613520608.pdf","xml/psychsci_oa.0956797613520608.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797614527830","0956797614527830","Serotonin and Social Norms","2014","https://creativecommons.org/licenses/by-nc/3.0/ | https://journals.sagepub.com/page/policies/text-and-data-mining-license","pdf/psychsci_oa.0956797614527830.pdf","xml/psychsci_oa.0956797614527830.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617694867","0956797617694867","People With Autism Spectrum Conditions Make More Consistent Decisions","2017","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797617694867.pdf","xml/psychsci_oa.0956797617694867.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617702501","0956797617702501","Should Governments Invest More in Nudging?","2017","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797617702501.pdf","xml/psychsci_oa.0956797617702501.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617702699","0956797617702699","Pupillary Responses to Words That Convey a Sense of Brightness or Darkness","2017","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797617702699.pdf","xml/psychsci_oa.0956797617702699.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617705391","0956797617705391","Illusory Increases in Font Size Improve Letter Recognition","2017","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797617705391.pdf","xml/psychsci_oa.0956797617705391.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617705667","0956797617705667","Lack of Free Choice Reveals the Cost of Having to Search for More Than One Object","2017","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797617705667.pdf","xml/psychsci_oa.0956797617705667.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617707270","0956797617707270","Genetic Influence on Intergenerational Educational Attainment","2017","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797617707270.pdf","xml/psychsci_oa.0956797617707270.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617709813","0956797617709813","When Is Higher Neuroticism Protective Against Death? Findings From UK Biobank","2017","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797617709813.pdf","xml/psychsci_oa.0956797617709813.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617724435","0956797617724435","Uncovering the Power of Personality to Shape Income","2018","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797617724435.pdf","xml/psychsci_oa.0956797617724435.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797617729808","0956797617729808","Symmetric Objects Become Special in Perception Because of Generic Computations in Neurons","2018","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797617729808.pdf","xml/psychsci_oa.0956797617729808.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797618755322","0956797618755322","Structure and Implementation of Novel Task Rules: A Cross-Sectional Developmental Study","2018","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797618755322.pdf","xml/psychsci_oa.0956797618755322.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797618772822","0956797618772822","The Napoleon Complex: When Shorter Men Take More","2018","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797618772822.pdf","xml/psychsci_oa.0956797618772822.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797618773095","0956797618773095","Reply to Ihmels and Ache (2018): Event-Based Conformity Versus Regression to the Mean","2018","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797618773095.pdf","xml/psychsci_oa.0956797618773095.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797618815482","0956797618815482","Comparing the Effects of Hypothetical Moral Preferences on Real-Life and Hypothetical Behavior: Commentary on Bostyn, Sevenhant, and Roets (2018)","2019","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797618815482.pdf","xml/psychsci_oa.0956797618815482.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619830326","0956797619830326","The Prevalence of Marginally Significant Results in Psychology Over Time","2019","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619830326.pdf","xml/psychsci_oa.0956797619830326.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619831964","0956797619831964","Collective Emotions and Social Resilience in the Digital Traces After a Terrorist Attack","2019","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619831964.pdf","xml/psychsci_oa.0956797619831964.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619833325","0956797619833325","Conditioning on a Collider May or May Not Explain the Relationship Between Lower Neuroticism and Premature Mortality in the Study by Gale et al. (2017): A Reply to Richardson, Davey Smith, and Munafò (2019)","2019","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619833325.pdf","xml/psychsci_oa.0956797619833325.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619841265","0956797619841265","Mutualistic Coupling Between Vocabulary and Reasoning in Young Children: A Replication and Extension of the Study by Kievit et al. (2017)","2019","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619841265.pdf","xml/psychsci_oa.0956797619841265.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619851753","0956797619851753","High Endogenous Testosterone Levels Are Associated With Diminished Neural Emotional Control in Aggressive Police Recruits","2019","http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797619851753.pdf","xml/psychsci_oa.0956797619851753.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619866625","0956797619866625","A Protracted Sensitive Period Regulates the Development of Cross-Modal Sound–Shape Associations in Humans","2019","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619866625.pdf","xml/psychsci_oa.0956797619866625.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619866627","0956797619866627","On the Limited Generality of Air Pollution and Anxiety as Causal Determinants of Unethical Behavior: Commentary on Lu, Lee, Gino, and Galinsky (2018)","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797619866627.pdf","xml/psychsci_oa.0956797619866627.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619869905","0956797619869905","Scenes Modulate Object Processing Before Interacting With Memory Templates","2019","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619869905.pdf","xml/psychsci_oa.0956797619869905.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619876260","0956797619876260","Visually Entrained Theta Oscillations Increase for Unexpected Events in the Infant Brain","2019","http://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619876260.pdf","xml/psychsci_oa.0956797619876260.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619881134","0956797619881134","Reading Increases the Compositionality of Visual Word Representations",NA,"http://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797619881134.pdf","xml/psychsci_oa.0956797619881134.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797619890619","0956797619890619","Implicit Gender Bias in Linguistic Descriptions for Expected Events: The Cases of the 2016 United States and 2017 United Kingdom Elections","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797619890619.pdf","xml/psychsci_oa.0956797619890619.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620903716","0956797620903716","Does Honesty Require Time? Two Preregistered Direct Replications of Experiment 2 of Shalvi, Eldar, and Bereby-Meyer (2012)","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620903716.pdf","xml/psychsci_oa.0956797620903716.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620904450","0956797620904450","Comparison of Adopted and Nonadopted Individuals Reveals Gene–Environment Interplay for Education in the UK Biobank","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620904450.pdf","xml/psychsci_oa.0956797620904450.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620904990","0956797620904990","Strong Effort Manipulations Reduce Response Caution: A Preregistered Reinvention of the Ego-Depletion Paradigm","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620904990.pdf","xml/psychsci_oa.0956797620904990.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620915887","0956797620915887","B or 13? Unconscious Top-Down Contextual Effects at the Categorical but Not the Lexical Level","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620915887.pdf","xml/psychsci_oa.0956797620915887.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620916521","0956797620916521","Transaction Frame Determines Preferences: Valuation of Labor by Employee and Contractor","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620916521.pdf","xml/psychsci_oa.0956797620916521.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620916782","0956797620916782","Beyond Western, Educated, Industrial, Rich, and Democratic (WEIRD) Psychology: Measuring and Mapping Scales of Cultural and Psychological Distance",NA,"https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620916782.pdf","xml/psychsci_oa.0956797620916782.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620927648","0956797620927648","Aging Predicts Decline in Explicit and Implicit Memory: A Life-Span Study",NA,"https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620927648.pdf","xml/psychsci_oa.0956797620927648.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620927967","0956797620927967","Affective Arousal Links Sound to Meaning","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620927967.pdf","xml/psychsci_oa.0956797620927967.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620929297","0956797620929297","“This Is What a Mechanic Sounds Like”: Children’s Vocal Control Reveals Implicit Occupational Stereotypes","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620929297.pdf","xml/psychsci_oa.0956797620929297.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620929302","0956797620929302","Exploring the Impact of Mindfulness on False-Memory Susceptibility","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620929302.pdf","xml/psychsci_oa.0956797620929302.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
