"doi","article_id","title","year","license","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date"
"10.1093/scan/nsx138","scannsx138","Altruistic and self-serving goals modulate behavioral and neural responses in deception",2017,"cc-by-nc","pdf/scan.scannsx138.pdf","xml/scan.scannsx138.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx001","scannsx001","Face-to-face: Perceived personal relevance amplifies face processing",2017,"cc-by-nc","pdf/scan.scannsx001.pdf","xml/scan.scannsx001.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx100","scannsx100","Electroconvulsive therapy selectively enhanced feedforward connectivity from fusiform face area to amygdala in major depressive disorder",2017,"cc-by-nc","pdf/scan.scannsx100.pdf","xml/scan.scannsx100.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx069","scannsx069","The emotional power of poetry: neural circuitry, psychophysiology and compositional principles",2017,"cc-by-nc","pdf/scan.scannsx069.pdf","xml/scan.scannsx069.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx081","scannsx081","Propranolol reduces reference-dependence in intertemporal choice",2017,"cc-by-nc","pdf/scan.scannsx081.pdf","xml/scan.scannsx081.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx145","scannsx145","Forgetting emotional material in working memory",2017,"cc-by-nc","pdf/scan.scannsx145.pdf","xml/scan.scannsx145.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx087","scannsx087","Postpartum depressive symptoms moderate the link between mothers’ neural response to positive faces in reward and social regions and observed caregiving",2017,"cc-by-nc","pdf/scan.scannsx087.pdf","xml/scan.scannsx087.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx047","scannsx047","Neurocultural evidence that ideal affect match promotes giving",2017,"cc-by-nc","pdf/scan.scannsx047.pdf","xml/scan.scannsx047.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx017","scannsx017","Elevated nucleus accumbens structural connectivity associated with proneness to hypomania: a reward hypersensitivity perspective",2017,"cc-by-nc","pdf/scan.scannsx017.pdf","xml/scan.scannsx017.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx065","scannsx065","Effects of sensitivity to life stress on uncinate fasciculus segments in early adolescence",2017,"cc-by-nc","pdf/scan.scannsx065.pdf","xml/scan.scannsx065.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.1093/scan/nsx046","scannsx046","The effect of constraining eye-contact during dynamic emotional face perception—an fMRI study",2017,"cc-by-nc","pdf/scan.scannsx046.pdf","xml/scan.scannsx046.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
