"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1162/opmi_a_00011","opmia00011","So Good It Has to Be True: Wishful Thinking in Theory of Mind",2017,"pdf/openmind.opmia00011.pdf","xml/openmind.opmia00011.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00078","opmia00078","The Development of Relational Reasoning: An Eyetracking Analysis of Strategy Use and Adaptation in Children and Adults Performing Matrix Completion",2023,"pdf/openmind.opmia00078.pdf","xml/openmind.opmia00078.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.332","opmia332","Quantifying Epistemic Relevance",2026,"pdf/openmind.opmia332.pdf","xml/openmind.opmia332.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.12","opmia12","Seeking New Information With Old Questions: Children and Adults Reuse and Recombine Concepts From Prior Questions",2025,"pdf/openmind.opmia12.pdf","xml/openmind.opmia12.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00172","opmia00172","Word Repetition and Isolation are Intertwined in Children’s Early Language Experiences",2024,"pdf/openmind.opmia00172.pdf","xml/openmind.opmia00172.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00129","opmia00129","Toddlers Prefer Agents Who Help Those Facing Harder
                    Tasks",2024,"pdf/openmind.opmia00129.pdf","xml/openmind.opmia00129.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.21","opmia21","Issues of Generalization From Unreliable or Unrepresentative Stimuli: Broad Lessons From Lexical Ambiguity",2025,"pdf/openmind.opmia21.pdf","xml/openmind.opmia21.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00114","opmia00114","Direct and Observed Joint Attention Modulate 9-Month-Old Infants’ Object Encoding",2023,"pdf/openmind.opmia00114.pdf","xml/openmind.opmia00114.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.357","opmia357","Expectations of Reciprocal Generosity Are Specific to Equal Relationships",2026,"pdf/openmind.opmia357.pdf","xml/openmind.opmia357.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.17","opmia17","Already Perfect: Language Users Access the Pragmatic Meanings of Conditionals First",2025,"pdf/openmind.opmia17.pdf","xml/openmind.opmia17.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00180","opmia00180","Beliefs About the Speaker’s Reasoning Ability Influence Pragmatic Interpretation: Children and Adults as Speakers",2025,"pdf/openmind.opmia00180.pdf","xml/openmind.opmia00180.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00041","opmia00041","Does Local Coherence Lead to Targeted Regressions and Illusions of Grammaticality?",2021,"pdf/openmind.opmia00041.pdf","xml/openmind.opmia00041.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00049","opmia00049","Infants Learn to Follow Gaze in Stages: Evidence Confirming a Robotic Prediction",2021,"pdf/openmind.opmia00049.pdf","xml/openmind.opmia00049.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00071","opmia00071","Grammatical Perspective-Taking in Comprehension and Production",2023,"pdf/openmind.opmia00071.pdf","xml/openmind.opmia00071.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00126","opmia00126","A Deep Learning Approach to Analyzing Continuous-Time Cognitive Processes",2024,"pdf/openmind.opmia00126.pdf","xml/openmind.opmia00126.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00190","opmia00190","The Double Standard of Ownership",2025,"pdf/openmind.opmia00190.pdf","xml/openmind.opmia00190.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.350","opmia350","When Numbers Whisper Their Names – Number Word Processing in Multi-Digit Number Magnitude Comparison in French Speakers",2026,"pdf/openmind.opmia350.pdf","xml/openmind.opmia350.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00058","opmia00058","This Better Be Interesting: A Speaker’s Decision to Speak Cues Listeners to Expect Informative Content",2022,"pdf/openmind.opmia00058.pdf","xml/openmind.opmia00058.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00153","opmia00153","Mind Melds: Verbal Labels Induce Greater Representational Alignment",2024,"pdf/openmind.opmia00153.pdf","xml/openmind.opmia00153.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.331","opmia331","Children Understand How Adults’ Achievement Goals Drive Actions",2026,"pdf/openmind.opmia331.pdf","xml/openmind.opmia331.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.13","opmia13","Education Is Positively and Causally Linked With Spatial Navigation Ability Across the Lifespan",2025,"pdf/openmind.opmia13.pdf","xml/openmind.opmia13.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi.a.8","opmia8","Second-Order Zipf’s Law for Word Co-Occurrences",2025,"pdf/openmind.opmia8.pdf","xml/openmind.opmia8.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00022","opmia00022","Segmentability Differences Between Child-Directed and Adult-Directed Speech: A Systematic Test With an Ecologically Valid Corpus",2019,"pdf/openmind.opmia00022.pdf","xml/openmind.opmia00022.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00102","opmia00102","Testing Causal Effects of Empathy on Children’s Prosociality in Politeness Dilemmas - An Intervention Study",2023,"pdf/openmind.opmia00102.pdf","xml/openmind.opmia00102.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00112","opmia00112","Prediction, Explanation, and Control: The Use of Mental Models in Dynamic Environments",2023,"pdf/openmind.opmia00112.pdf","xml/openmind.opmia00112.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00056","opmia00056","Social Prevalence Is Rationally Integrated in Belief Updating",2022,"pdf/openmind.opmia00056.pdf","xml/openmind.opmia00056.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1162/opmi_a_00134","opmia00134","Evidence for Infant-directed Speech Preference Is Consistent Across
                    Large-scale, Multi-site Replication and Meta-analysis",2024,"pdf/openmind.opmia00134.pdf","xml/openmind.opmia00134.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
