"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1186/s12903-016-0172-5","s1290301601725","Krüppel-like factor 4 expression in oral carcinoma cells and hypermethylation at the gene promoter",2016,"pdf/bmcoral.s1290301601725.pdf","xml/bmcoral.s1290301601725.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0218-8","s1290301602188","Sympathomimetic effects of chronic methamphetamine abuse on oral health: a cross-sectional study",2016,"pdf/bmcoral.s1290301602188.pdf","xml/bmcoral.s1290301602188.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0199-7","s1290301601997","A randomized, double-blind, crossover, placebo-controlled clinical trial to assess effects of the single ingestion of a tablet containing lactoferrin, lactoperoxidase, and glucose oxidase on oral malodor",2016,"pdf/bmcoral.s1290301601997.pdf","xml/bmcoral.s1290301601997.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0325-6","s1290301603256","Oral microflora in preschool children attending a fluoride varnish program: a cross-sectional study",2016,"pdf/bmcoral.s1290301603256.pdf","xml/bmcoral.s1290301603256.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0298-5","s1290301602985","Florida child care center directors’ intention to implement oral health promotion practices in licensed child care centers",2016,"pdf/bmcoral.s1290301602985.pdf","xml/bmcoral.s1290301602985.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0303-z","s129030160303z","The expression of 11β-hydroxysteroid dehydrogenase type 1 is increased in experimental periodontitis in rats",2016,"pdf/bmcoral.s129030160303z.pdf","xml/bmcoral.s129030160303z.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0179-y","s129030160179y","Association between dental fear and oral health habits and treatment need among University students in Finland: a national study",2016,"pdf/bmcoral.s129030160179y.pdf","xml/bmcoral.s129030160179y.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0254-4","s1290301602544","Awareness and attitude toward using dental magnification among dental students and residents at King Abdulaziz University, Faculty of Dentistry",2016,"pdf/bmcoral.s1290301602544.pdf","xml/bmcoral.s1290301602544.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0200-5","s1290301602005","Developing a model to assess community-level risk of oral diseases for planning public dental services in Australia",2016,"pdf/bmcoral.s1290301602005.pdf","xml/bmcoral.s1290301602005.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0267-z","s129030160267z","Prevalence of early childhood caries and enamel defects in four and five-year old Qatari preschool children",2016,"pdf/bmcoral.s129030160267z.pdf","xml/bmcoral.s129030160267z.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0228-6","s1290301602286","Ethnic differences in oral health and use of dental services: cross-sectional study using the 2009 Adult Dental Health Survey",2016,"pdf/bmcoral.s1290301602286.pdf","xml/bmcoral.s1290301602286.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0318-5","s1290301603185","Oral-health-related background factors and dental service utilisation among Sudanese children with and without a congenital heart defects",2016,"pdf/bmcoral.s1290301603185.pdf","xml/bmcoral.s1290301603185.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0176-1","s1290301601761","Brazilian immigrants’ oral health literacy and participation in oral health care in Canada",2016,"pdf/bmcoral.s1290301601761.pdf","xml/bmcoral.s1290301601761.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0192-1","s1290301601921","Midwives’ oral health recommendations for pregnant women, infants and young children: results of a nationwide survey in Germany",2016,"pdf/bmcoral.s1290301601921.pdf","xml/bmcoral.s1290301601921.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0251-7","s1290301602517","The future of pediatric dentistry education and curricula: a Chilean perspective",2016,"pdf/bmcoral.s1290301602517.pdf","xml/bmcoral.s1290301602517.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0215-y","s129030160215y","Oral manifestations in vitamin B12 deficiency patients with or without history of gastrectomy",2016,"pdf/bmcoral.s129030160215y.pdf","xml/bmcoral.s129030160215y.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0280-2","s1290301602802","Utilization of dental care among patients with severe mental illness: a study of a National Health Insurance database",2016,"pdf/bmcoral.s1290301602802.pdf","xml/bmcoral.s1290301602802.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0180-5","s1290301601805","Water fluoridation and ethnic inequities in dental caries profiles of New Zealand children aged 5 and 12–13 years: analysis of national cross-sectional registry databases for the decade 2004–2013",2016,"pdf/bmcoral.s1290301601805.pdf","xml/bmcoral.s1290301601805.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0315-8","s1290301603158","Dental age assessment in 6- to 14-year old German children: comparison of Cameriere and Demirjian methods",2016,"pdf/bmcoral.s1290301603158.pdf","xml/bmcoral.s1290301603158.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0235-7","s1290301602357","Developmental defects of enamel in primary teeth - findings of a regional German birth cohort study",2016,"pdf/bmcoral.s1290301602357.pdf","xml/bmcoral.s1290301602357.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0275-z","s129030160275z","Chronic recurrent multifocal osteomyelitis in association with pyoderma gangraenosum",2016,"pdf/bmcoral.s129030160275z.pdf","xml/bmcoral.s129030160275z.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0249-1","s1290301602491","The effect of periodontal therapy on glycemic control and fasting plasma glucose level in type 2 diabetic patients: systematic review and meta-analysis",2016,"pdf/bmcoral.s1290301602491.pdf","xml/bmcoral.s1290301602491.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0317-6","s1290301603176","Smoking status, dental visits and receipt of tobacco counseling in dental office among mobile and trailer home adolescents",2016,"pdf/bmcoral.s1290301603176.pdf","xml/bmcoral.s1290301603176.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0277-x","s129030160277x","Association of genetic polymorphisms in interferon-γ, interleukin-6 and transforming growth factor-β1 gene with oral lichen planus susceptibility",2016,"pdf/bmcoral.s129030160277x.pdf","xml/bmcoral.s129030160277x.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0205-0","s1290301602050","Reliability and validity of the Children’s Fear Survey Schedule-Dental Subscale for Arabic-speaking children: a cross-sectional study",2016,"pdf/bmcoral.s1290301602050.pdf","xml/bmcoral.s1290301602050.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0278-9","s1290301602789","Should oral anticoagulant therapy be continued during dental extraction? A meta-analysis",2016,"pdf/bmcoral.s1290301602789.pdf","xml/bmcoral.s1290301602789.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
"10.1186/s12903-016-0263-3","s1290301602633","In vitro characterization of an osteoinductive biphasic calcium phosphate in combination with recombinant BMP2",2016,"pdf/bmcoral.s1290301602633.pdf","xml/bmcoral.s1290301602633.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","Varies by article (mostly CC-BY 4.0; some CC-BY-NC-ND) -- check individual article"
